,PUBCHEM_SID
1828,863828
1829,863828
1830,863831
1831,863831
1832,863831
1833,863831
1834,863831
1835,863915
1836,863915
1837,863915
1838,863915
1839,863915
1840,863964
1841,863964
1842,863964
1843,863964
1844,863964
1845,863998
1846,863998
1847,863998
1848,863998
1849,863998
1850,864026
1851,864026
1852,864026
1853,864026
1854,864026
1855,864048
1856,864048
1857,864048
1858,864048
1859,864048
1860,864093
1861,864093
1862,864093
1863,864093
1864,864093
1865,864131
1866,864131
1867,864131
1868,864131
1869,864131
1870,864189
1871,864189
1872,864189
1873,864189
1874,864189
1875,864212
1876,864212
1877,864212
1878,864212
1879,864212
1880,864330
1881,864330
1882,864330
1883,864330
1884,864330
1885,864407
1886,864407
1887,864407
1888,864407
1889,864407
1890,864480
1891,864480
1892,864480
1893,864480
1894,864480
1895,864723
1896,864723
1897,864723
1898,864723
1899,864723
1900,864964
1901,864964
1902,864964
1903,864964
1904,864964
1905,864977
1906,864977
1907,864977
1908,864977
1909,864977
1910,865162
1911,865162
1912,865162
1913,865162
1914,865162
1915,865244
1916,865244
1917,865244
1918,865244
1919,865244
1920,865245
1921,865245
1922,865245
1923,865245
1924,865245
1925,865262
1926,865262
1927,865262
1928,865262
1929,865262
1930,865579
1931,865579
1932,865579
1933,865579
1934,865579
1935,865820
1936,865820
1937,865820
1938,865820
1939,865820
1940,865913
1941,865913
1942,865913
1943,865913
1944,865913
1945,866021
1946,866021
1947,866021
1948,866021
1949,866021
1950,866042
1951,866042
1952,866042
1953,866042
1954,866042
1955,866054
1956,866054
1957,866054
1958,866054
1959,866054
1960,866128
1961,866128
1962,866128
1963,866128
1964,866128
1965,3711219
1966,3711219
1967,3711219
1968,3711219
1969,3711219
1970,3711258
1971,3711258
1972,3711258
1973,3711258
1974,3711258
1975,3711319
1976,3711319
1977,3711319
1978,3711319
1979,3711319
1980,3711343
1981,3711343
1982,3711343
1983,3711343
1984,3711343
1985,3711413
1986,3711413
1987,3711413
1988,3711413
1989,3711413
1990,3711555
1991,3711555
1992,3711555
1993,3711555
1994,3711555
1995,3711650
1996,3711650
1997,3711650
1998,3711650
1999,3711650
2000,3711776
2001,3711776
2002,3711776
2003,3711776
2004,3711776
2005,3711783
2006,3711783
2007,3711783
2008,3711783
2009,3711783
2010,3711919
2011,3711919
2012,3711919
2013,3711919
2014,3711919
2015,3711926
2016,3711926
2017,3711926
2018,3711926
2019,3711926
2020,3712006
2021,3712006
2022,3712006
2023,3712006
2024,3712006
2025,3712042
2026,3712042
2027,3712042
2028,3712042
2029,3712042
2030,3712054
2031,3712054
2032,3712054
2033,3712054
2034,3712054
2035,3712157
2036,3712157
2037,3712157
2038,3712157
2039,3712157
2040,3712241
2041,3712241
2042,3712241
2043,3712241
2044,3712241
2045,3712252
2046,3712252
2047,3712252
2048,3712252
2049,3712252
2050,3712307
2051,3712307
2052,3712307
2053,3712307
2054,3712307
2055,3712312
2056,3712312
2057,3712312
2058,3712312
2059,3712312
2060,3712355
2061,3712355
2062,3712355
2063,3712355
2064,3712355
2065,3712357
2066,3712357
2067,3712357
2068,3712357
2069,3712357
2070,3712359
2071,3712359
2072,3712359
2073,3712359
2074,3712359
2075,3712364
2076,3712364
2077,3712364
2078,3712364
2079,3712364
2080,3712414
2081,3712414
2082,3712414
2083,3712414
2084,3712414
2085,3712461
2086,3712461
2087,3712461
2088,3712461
2089,3712461
2090,3712469
2091,3712469
2092,3712469
2093,3712469
2094,3712469
2095,3712474
2096,3712474
2097,3712474
2098,3712474
2099,3712474
2100,3712493
2101,3712493
2102,3712493
2103,3712493
2104,3712493
2105,3712502
2106,3712502
2107,3712502
2108,3712502
2109,3712502
2110,3712526
2111,3712526
2112,3712526
2113,3712526
2114,3712526
2115,3712535
2116,3712535
2117,3712535
2118,3712535
2119,3712535
2120,3712600
2121,3712600
2122,3712600
2123,3712600
2124,3712600
2125,3712607
2126,3712607
2127,3712607
2128,3712607
2129,3712607
2130,3712953
2131,3712953
2132,3712953
2133,3712953
2134,3712953
2135,3712980
2136,3712980
2137,3712980
2138,3712980
2139,3712980
2140,3713022
2141,3713022
2142,3713022
2143,3713022
2144,3713022
2145,3713042
2146,3713042
2147,3713042
2148,3713042
2149,3713042
2150,3713065
2151,3713065
2152,3713065
2153,3713065
2154,3713065
2155,3713238
2156,3713238
2157,3713238
2158,3713238
2159,3713238
2160,3713259
2161,3713259
2162,3713259
2163,3713259
2164,3713259
2165,3713263
2166,3713263
2167,3713263
2168,3713263
2169,3713263
2170,3713267
2171,3713267
2172,3713267
2173,3713267
2174,3713267
2175,3713298
2176,3713298
2177,3713298
2178,3713298
2179,3713298
2180,3713389
2181,3713389
2182,3713389
2183,3713389
2184,3713389
2185,3713398
2186,3713398
2187,3713398
2188,3713398
2189,3713398
2190,3713399
2191,3713399
2192,3713399
2193,3713399
2194,3713399
2195,3713412
2196,3713412
2197,3713412
2198,3713412
2199,3713412
2200,3713415
2201,3713415
2202,3713415
2203,3713415
2204,3713415
2205,3713635
2206,3713635
2207,3713635
2208,3713635
2209,3713635
2210,3713645
2211,3713645
2212,3713645
2213,3713645
2214,3713645
2215,3713783
2216,3713783
2217,3713783
2218,3713783
2219,3713783
2220,3713968
2221,3713968
2222,3713968
2223,3713968
2224,3713968
2225,3713981
2226,3713981
2227,3713981
2228,3713981
2229,3713981
2230,3714062
2231,3714062
2232,3714062
2233,3714062
2234,3714062
2235,3714089
2236,3714089
2237,3714089
2238,3714089
2239,3714089
2240,3714119
2241,3714119
2242,3714119
2243,3714119
2244,3714119
2245,3714198
2246,3714198
2247,3714198
2248,3714198
2249,3714198
2250,3714248
2251,3714248
2252,3714248
2253,3714248
2254,3714248
2255,3714331
2256,3714331
2257,3714331
2258,3714331
2259,3714331
2260,3714430
2261,3714430
2262,3714430
2263,3714430
2264,3714430
2265,3714713
2266,3714713
2267,3714713
2268,3714713
2269,3714713
2270,3714825
2271,3714825
2272,3714825
2273,3714825
2274,3714825
2275,3714832
2276,3714832
2277,3714832
2278,3714832
2279,3714832
2280,3714876
2281,3714876
2282,3714876
2283,3714876
2284,3714876
2285,3714911
2286,3714911
2287,3714911
2288,3714911
2289,3714911
2290,3714944
2291,3714944
2292,3714944
2293,3714944
2294,3714944
2295,3715068
2296,3715068
2297,3715068
2298,3715068
2299,3715068
2300,3715127
2301,3715127
2302,3715127
2303,3715127
2304,3715127
2305,3715149
2306,3715149
2307,3715149
2308,3715149
2309,3715149
2310,3715182
2311,3715182
2312,3715182
2313,3715182
