index,MORGAN_BTSR
267,11000000001010001000001000010000110010010100000000000010011000010000000000010010110001100100010001101001000100010000100000101101
268,00000100001010001000000000010000110000010000000000000000001000010010000011101000110001000000000000001000100101010000100001100100
269,10101010101010001001000010001000100010011100000101000000000100001000000010000010110010110110000000001000010000100000000100110100
270,10001010101110100000000000100111010100110110010000001000001000101000001010000000110001100100000000011000001100000100110001111101
271,11100000101010100100000010000010101100010001010111000000000100001001000000000010011000101000000010011000000000000000000000110100
272,11010000101010100000000010000000101100010001000110000000100100001001000000100000011000101000000010011010010000001100000000100101
273,11000100111000000001000110000000010001011110010000100100000000011001010000110000110000100010000000001010011000000010000000100101
274,10000001101000000110001100011001111000110100000000000010100000010101001011000000110001101011000000101000110101011010100000100100
275,11000000001011100000000000110110010000010100000000000001001001010010000011000111010011100001000000001001000001000100000101100000
276,00101001011010000011001100000010111100010000010000101001011000011000000010000000100001000000010000001000001000000001100000111111
277,11010000001010000011000100000011010100010000000100100111001010011000001001000001110000110010011000001000000100000000000111100100
278,11000000101010001000000100010000010000010000000000000100100000001010101100000000110101100000100000001000110000000110100000110100
279,10000101101010000000000000101001010010011000000000000000001000000000000001000010110010110000000000001000010110001000000101100100
280,10101110101110000000000010000000110010011100000000000100000100011000000010010010110010110110000001011000010000000100000100110100
281,10000100101110000000000000000000110011011110000100000000000000001000010010000110110010110110000001011000010000100100000100110111
282,11000000101010000001000000000001110011010100000000100110001000001101010000100110110010110110000010001000010100100000000100110111
283,11000000101011000001000000000000110011010100000000100111000000011111010001100110110010110110000010001000010000100000000100110111
284,10000000001011000001010001000000010000100000100000000111001000110011010001000010110000100010010000011000000111100110000100000011
285,11010000100100000000000000010001110010010000001101010101000010011001100010000100110000111000000001011010000000000100000000100000
286,10001110001000111001000000000010011000110100010100000000001000011000010001000100111001100010000000101100000100100000100110100101
287,10101110101000000000000000000110011000110000010100000000000100011000000001000000111001100010010000001100010100000000100110100110
288,10100110101000000000010100000010110001010110000100000000000100001000010010100100110000100010000000001000010000100000000000000111
289,10101010101000000100010110001011111000010100000100000000001100001000000010101000110000100010000000001000010100010000010000000101
290,10011000100001001000000000000011111000011000011101010111000010011011100001000110110000111000000000001010010000110000000010110000
291,10001000100000101000000010000011111100011010010001000110001110111001100000000101110000101000000101001010010000110100000010110001
292,10011100100000001000000000000011101000011000011101010110000010011001100000000100110000111000000010001010010000110000000010110000
293,11001000100000001001000000000011111000011000011001110111001010011001100000100100110000100100000010001010010100110000010010110001
294,00101000001010000000000001010010110010010100000100000000001000010000100011110010010000100000001000001000010000100000011100100000
295,00000000000110001000000001000010010010010100000100000010011000000000100000100000010001100100000000101000010100010100001101100000
296,10011100001000110000000011000000010010110100100100100101001000111000000001100000010000100000000000001010010100000000001101110100
297,10111000001000110000000011000000110010110100100100110001001000101000000011100000110010100000000000001010010101000000001101110100
298,10011000001000110001000011000000010011110100100101100001101000111000000001100000110000101000000000001010110100000000001101110100
299,10000000001000100011010010011110010101010100100111000101011000000000000010000000110001101000000011111000000100010100100000100100
300,11000001101010000000000010001001110010010100000110000000001110001000000010000000110001100000001001101000010100000010100100100100
301,01010100101010011001000100010000010101010001000001001000100001001000100000000000110000101000101010011000100100000000100000110100
